tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
1.25  0.00998469  0.0305423  -0.15  0.15  0.132623  0.102856  -0.1  0.4
1.26  0.00649284  0.0215459  -0.15  0.15  0.137957  0.115936  -0.1  0.4
1.27  0.00296704  0.0121668  -0.15  0.15  0.143341  0.129399  -0.1  0.4
1.28  -0.000578274  0.00253867  -0.15  0.15  0.148755  0.14304  -0.1  0.4
1.29  -0.00412817  -0.00720288  -0.15  0.15  0.15418  0.156664  -0.1  0.4
1.3  -0.0076675  -0.01692  -0.15  0.15  0.159594  0.170083  -0.1  0.4
1.31  -0.0111812  -0.026472  -0.15  0.15  0.164979  0.183111  -0.1  0.4
1.32  -0.0146547  -0.0357142  -0.15  0.15  0.170316  0.195557  -0.1  0.4
1.33  -0.0180741  -0.044501  -0.15  0.15  0.175588  0.207235  -0.1  0.4
1.34  -0.0214264  -0.0526984  -0.15  0.15  0.18078  0.217982  -0.1  0.4
1.35  -0.0247002  -0.0602019  -0.15  0.15  0.185879  0.227693  -0.1  0.4
1.36  -0.0278854  -0.0669505  -0.15  0.15  0.190873  0.236334  -0.1  0.4
1.37  -0.0309735  -0.0729302  -0.15  0.15  0.195756  0.243954  -0.1  0.4
1.38  -0.0339579  -0.0781687  -0.15  0.15  0.200519  0.250657  -0.1  0.4
1.39  -0.0368333  -0.0827192  -0.15  -0.05  0.205159  0.256575  0.2  0.4
1.4  -0.0395958  -0.0866397  -0.15  -0.05  0.209673  0.261827  0.2  0.4
1.41  -0.0422428  -0.0899868  -0.15  -0.05  0.214059  0.266511  0.2  0.4
1.42  -0.0447727  -0.0928154  -0.15  -0.05  0.218317  0.270708  0.2  0.4
1.43  -0.0471851  -0.0951781  -0.15  -0.05  0.222446  0.274485  0.2  0.4
1.44  -0.04948  -0.0971247  -0.15  -0.05  0.226448  0.277898  0.2  0.4
1.45  -0.0516586  -0.0987023  -0.15  -0.05  0.230325  0.280991  0.2  0.4
1.46  -0.0537224  -0.0999546  -0.15  -0.05  0.234078  0.283804  0.2  0.4
1.47  -0.0556734  -0.100922  -0.15  -0.05  0.23771  0.286367  0.2  0.4
1.48  -0.0575142  -0.101643  -0.15  -0.05  0.241223  0.288705  0.2  0.4
1.49  -0.0592474  -0.102151  -0.15  -0.05  0.24462  0.290841  0.2  0.4
1.5  -0.0608762  -0.102478  -0.15  -0.05  0.247905  0.292792  0.2  0.4
1.51  -0.0624037  -0.102652  -0.15  -0.05  0.251081  0.294573  0.2  0.4
1.52  -0.0638333  -0.102699  -0.15  -0.05  0.25415  0.296196  0.2  0.4
1.53  -0.0651684  -0.102642  -0.15  -0.05  0.257118  0.297673  0.2  0.4
1.54  -0.0664123  -0.102501  -0.15  -0.05  0.259987  0.299012  0.2  0.4
1.55  -0.0675685  -0.102295  -0.15  -0.05  0.262761  0.300221  0.2  0.4
1.56  -0.0686402  -0.102039  -0.15  -0.05  0.265444  0.301309  0.2  0.4
1.57  -0.0696307  -0.101747  -0.15  -0.05  0.26804  0.30228  0.2  0.4
1.58  -0.0705432  -0.101433  -0.15  -0.05  0.270553  0.303142  0.2  0.4
