tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
1.35  0.165581  0  -0.1  0.5  -0.242504  0  -0.15  0.15
1.36  0.17066  0  -0.1  0.5  -0.253352  0  -0.15  0.15
1.37  0.175845  0  -0.1  0.5  -0.264535  0  -0.15  0.15
1.38  0.181132  0  -0.1  0.5  -0.276059  0  -0.15  0.15
1.39  0.186517  0  -0.1  0.5  -0.287932  0  -0.15  0.15
1.4  0.191995  0  -0.1  0.5  -0.300159  0  -0.15  0.15
1.41  0.197563  0  -0.1  0.5  -0.312749  0  -0.15  0.15
1.42  0.203216  0  -0.1  0.5  -0.325709  0  -0.15  0.15
1.43  0.20895  0  -0.1  0.5  -0.339047  0  -0.15  0.15
1.44  0.214762  0  -0.1  0.5  -0.352771  0  -0.15  0.15
1.45  0.220646  0  -0.1  0.5  -0.36689  0  -0.15  0.15
1.46  0.2266  0  -0.1  0.5  -0.38141  0  -0.15  0.15
1.47  0.23262  0  -0.1  0.5  -0.39634  0  -0.15  0.15
1.48  0.238703  0  -0.1  0.5  -0.411688  0  -0.15  0.15
1.49  0.244846  0  -0.1  0.5  -0.427461  0  -0.15  0.15
1.5  0.251047  0  -0.1  0.5  -0.443666  0  -0.15  0.15
