tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
1.21  0.0890762  0.00478833  -0.1  0.1  0.0437376  0.0924118  0.05  0.15
1.22  0.091855  0.00620555  -0.1  0.1  0.0426239  0.0918395  0.05  0.15
1.23  0.0947176  0.0081956  -0.1  0.1  0.0414621  0.0909794  0.05  0.15
1.24  0.097665  0.0102705  -0.1  0.5  0.0402518  0.0900709  -0.15  0.15
1.25  0.100698  0.0123554  -0.1  0.5  0.0389926  0.0891562  -0.15  0.15
1.26  0.103818  0.0145269  -0.1  0.5  0.0376843  0.0881923  -0.15  0.15
1.27  0.107025  0.0170244  -0.1  0.5  0.0363267  0.0858655  -0.15  0.15
1.28  0.11032  0.0196102  -0.1  0.5  0.0349205  0.0834901  -0.15  0.15
1.29  0.113704  0.0233714  -0.1  0.5  0.0334668  0.0807513  -0.15  0.15
1.3  0.117177  0.0272212  -0.1  0.5  0.0319667  0.0779661  -0.15  0.15
1.31  0.120737  0.032385  -0.1  0.5  0.0304217  0.0747111  -0.15  0.15
1.32  0.124384  0.0376353  -0.1  0.5  0.0288332  0.0714127  -0.15  0.15
1.33  0.128116  0.0438597  -0.1  0.5  0.0272031  0.0677873  -0.15  0.15
1.34  0.131931  0.0501667  -0.1  0.5  0.0255332  0.0641222  -0.15  0.15
1.35  0.135825  0.0570597  -0.1  0.5  0.0238255  0.060304  -0.15  0.15
1.36  0.139797  0.0640299  -0.1  0.5  0.022082  0.05645  -0.15  0.15
1.37  0.143843  0.0717414  -0.1  0.5  0.0203049  0.0523367  -0.15  0.15
1.38  0.14796  0.0795235  -0.1  0.5  0.0184964  0.048192  -0.15  0.15
1.39  0.152143  0.0875535  -0.1  0.5  0.0166588  0.0440301  -0.15  0.15
1.4  0.15639  0.0956468  -0.1  0.5  0.0147944  0.0398413  -0.15  0.15
1.41  0.160696  0.104352  -0.1  0.5  0.0129054  0.0354175  -0.15  0.15
1.42  0.165058  0.113112  -0.1  0.5  0.0109944  0.0309716  -0.15  0.15
1.43  0.16947  0.122243  -0.1  0.5  0.00906386  0.0264042  -0.15  0.15
1.44  0.173929  0.13142  -0.1  0.5  0.00711631  0.0218197  -0.15  0.15
1.45  0.178429  0.140655  -0.1  0.5  0.00515434  0.0172713  -0.15  0.15
1.46  0.182967  0.149927  -0.1  0.5  0.0031805  0.0127111  -0.15  0.15
1.47  0.187537  0.159511  -0.1  0.5  0.00119733  0.0080284  -0.15  0.15
1.48  0.192134  0.169124  -0.1  0.5  -0.000792531  0.00333903  -0.15  0.15
1.49  0.196753  0.178647  -0.1  0.5  -0.00278646  -0.0012515  -0.15  0.15
1.5  0.201391  0.188189  -0.1  0.5  -0.00478189  -0.00584353  -0.15  0.15
1.51  0.206041  0.197969  -0.1  0.5  -0.00677626  -0.0105483  -0.15  0.15
1.52  0.2107  0.207758  -0.1  0.5  -0.00876694  -0.0152494  -0.15  0.15
1.53  0.215361  0.217597  -0.1  0.5  -0.0107513  -0.0199631  -0.15  0.15
1.54  0.22002  0.227435  -0.1  0.5  -0.0127265  -0.0246677  -0.15  0.15
1.55  0.224671  0.237134  -0.1  0.5  -0.0146902  -0.0292722  -0.15  0.15
1.56  0.229311  0.24682  -0.1  0.5  -0.0166395  -0.0338624  -0.15  0.15
1.57  0.233933  0.25648  -0.1  0.5  -0.0185719  -0.0383649  -0.15  0.15
1.58  0.238534  0.266118  -0.1  0.5  -0.020485  -0.0428479  -0.15  0.15
1.59  0.243107  0.275857  -0.1  0.5  -0.0223761  -0.0472314  -0.15  0.15
1.6  0.247648  0.285564  -0.1  0.5  -0.0242429  -0.0515906  -0.15  0.15
1.61  0.252152  0.294807  -0.1  0.5  -0.0260829  -0.0556731  -0.15  0.15
1.62  0.256614  0.304008  -0.1  0.5  -0.027894  -0.0597265  -0.15  0.15
1.63  0.26103  0.312723  -0.1  0.5  -0.0296738  -0.0635032  -0.15  0.15
